Date,Increase,Same,Decrease,DK; NA,Median,Mean,Variance,25th Percentile,75th Percentile,Interquartile Rang (75th-25th)
2019-09-30,67.0,20.0,12.0,1.0,2.4,2.7,21.0,0.1,4.7,4.5
2019-08-31,67.0,22.0,10.0,1.0,2.1,2.5,18.0,0.2,4.8,4.6
2019-07-31,67.0,21.0,11.0,1.0,2.6,2.8,23.0,0.2,4.8,4.6
2019-06-30,67.0,19.0,13.0,1.0,2.3,2.1,40.0,0.1,4.8,4.7
2019-05-31,65.0,24.0,9.0,2.0,2.3,2.2,17.0,0.1,4.4,4.3
2019-04-30,63.0,25.0,11.0,1.0,2.1,2.3,18.0,0.1,4.5,4.5
2019-03-31,67.0,22.0,10.0,1.0,2.4,2.3,30.0,0.2,4.7,4.5
2019-02-28,67.0,21.0,10.0,2.0,2.6,2.7,30.0,0.2,4.8,4.6
2019-01-31,66.0,21.0,11.0,2.0,2.7,2.8,30.0,0.2,4.9,4.8
2018-12-31,63.0,24.0,10.0,3.0,2.2,2.8,32.0,0.1,4.8,4.7
2018-11-30,66.0,24.0,9.0,1.0,2.3,2.5,25.0,0.2,4.8,4.7
2018-10-31,63.0,25.0,11.0,1.0,2.0,2.0,25.0,0.0,4.3,4.2
2018-09-30,65.0,25.0,9.0,1.0,2.5,2.7,22.0,0.1,4.8,4.7
2018-08-31,67.0,23.0,10.0,0.0,2.7,3.0,21.0,0.2,5.0,4.9
2018-07-31,68.0,20.0,11.0,1.0,2.9,3.5,38.0,0.2,5.1,4.9
2018-06-30,68.0,22.0,8.0,2.0,2.6,3.3,35.0,0.2,5.0,4.8
2018-05-31,63.0,25.0,11.0,1.0,2.1,2.4,23.0,0.0,4.8,4.8
2018-04-30,70.0,18.0,11.0,1.0,2.5,2.8,26.0,0.2,4.9,4.6
2018-03-31,69.0,21.0,9.0,1.0,2.5,2.7,25.0,0.2,4.8,4.6
2018-02-28,68.0,20.0,11.0,1.0,2.5,2.9,25.0,0.2,4.8,4.6
2018-01-31,62.0,26.0,10.0,2.0,1.8,2.7,21.0,0.0,4.7,4.7
2017-12-31,67.0,21.0,11.0,1.0,2.6,2.5,25.0,0.2,4.9,4.7
2017-11-30,63.0,27.0,9.0,1.0,2.3,2.7,26.0,0.1,4.7,4.6
2017-10-31,70.0,20.0,8.0,2.0,2.7,3.1,21.0,0.3,5.0,4.7
2017-09-30,68.0,23.0,8.0,1.0,2.3,2.8,21.0,0.2,4.9,4.6
2017-08-31,67.0,21.0,11.0,1.0,2.4,2.6,29.0,0.2,4.7,4.5
2017-07-31,66.0,22.0,10.0,2.0,2.5,2.8,27.0,0.2,4.8,4.6
2017-06-30,72.0,19.0,8.0,1.0,2.4,3.0,28.0,0.4,4.8,4.5
2017-05-31,64.0,27.0,8.0,1.0,2.1,2.1,21.0,0.1,4.7,4.6
2017-04-30,68.0,21.0,10.0,1.0,2.4,2.4,22.0,0.2,4.5,4.3
2017-03-31,67.0,23.0,10.0,0.0,2.3,2.7,29.0,0.1,4.8,4.6
2017-02-28,64.0,25.0,10.0,1.0,2.0,1.9,17.0,0.1,4.4,4.4
2017-01-31,70.0,19.0,9.0,2.0,2.6,2.8,22.0,0.3,4.9,4.6
2016-12-31,65.0,26.0,8.0,1.0,2.6,2.7,19.0,0.2,4.8,4.6
2016-11-30,64.0,23.0,11.0,2.0,2.6,2.3,34.0,0.1,4.8,4.7
2016-10-31,63.0,27.0,9.0,1.0,2.1,2.3,23.0,0.1,4.5,4.4
2016-09-30,66.0,22.0,11.0,1.0,2.1,2.1,19.0,0.1,4.6,4.5
2016-08-31,62.0,26.0,10.0,2.0,1.9,2.2,25.0,0.1,4.5,4.5
2016-07-31,66.0,24.0,10.0,0.0,2.0,2.5,26.0,0.1,4.8,4.7
2016-06-30,65.0,24.0,10.0,1.0,2.3,2.7,26.0,0.1,4.8,4.7
2016-05-31,63.0,28.0,9.0,0.0,1.9,2.2,20.0,0.1,4.6,4.5
2016-04-30,65.0,25.0,9.0,1.0,2.1,2.1,22.0,0.1,4.2,4.1
2016-03-31,68.0,24.0,7.0,1.0,2.5,2.8,28.0,0.1,4.8,4.7
2016-02-29,62.0,27.0,11.0,0.0,1.9,2.4,25.0,0.0,4.5,4.5
2016-01-31,63.0,27.0,9.0,1.0,2.1,2.2,27.0,0.1,4.6,4.5
2015-12-31,63.0,27.0,9.0,1.0,2.2,1.9,28.0,0.1,4.6,4.6
2015-11-30,63.0,28.0,7.0,2.0,2.1,2.6,18.0,0.1,4.6,4.5
2015-10-31,64.0,25.0,9.0,2.0,1.9,2.2,22.0,0.1,4.5,4.4
2015-09-30,64.0,26.0,9.0,1.0,1.9,2.6,26.0,0.1,4.5,4.4
2015-08-31,68.0,21.0,10.0,1.0,2.4,2.8,21.0,0.2,4.9,4.7
2015-07-31,68.0,23.0,8.0,1.0,2.3,2.7,17.0,0.2,4.7,4.5
2015-06-30,68.0,24.0,7.0,1.0,2.5,2.9,28.0,0.2,4.7,4.4
2015-05-31,64.0,24.0,10.0,2.0,2.2,2.4,23.0,0.1,4.7,4.6
2015-04-30,63.0,28.0,8.0,1.0,2.3,2.6,31.0,0.1,4.9,4.8
2015-03-31,62.0,27.0,10.0,1.0,2.0,2.3,29.0,0.0,4.7,4.6
2015-02-28,66.0,25.0,9.0,0.0,2.3,2.8,39.0,0.1,4.8,4.6
2015-01-31,65.0,24.0,10.0,1.0,2.3,2.2,31.0,0.1,4.4,4.2
2014-12-31,66.0,26.0,7.0,1.0,2.2,2.8,20.0,0.2,4.5,4.4
