Date,Good time to Sell,Uncertain / Depends,Bad time to Sell,Relative
2019-09-30,74.0,5.0,21.0,153.0
2019-08-31,78.0,2.0,20.0,158.0
2019-07-31,73.0,3.0,24.0,149.0
2019-06-30,76.0,5.0,19.0,157.0
2019-05-31,76.0,3.0,21.0,155.0
2019-04-30,75.0,4.0,21.0,154.0
2019-03-31,71.0,5.0,24.0,147.0
2019-02-28,69.0,3.0,28.0,141.0
2019-01-31,64.0,5.0,31.0,133.0
2018-12-31,69.0,3.0,28.0,141.0
2018-11-30,72.0,4.0,24.0,148.0
2018-10-31,72.0,6.0,22.0,150.0
2018-09-30,72.0,6.0,22.0,150.0
2018-08-31,73.0,5.0,22.0,151.0
2018-07-31,77.0,2.0,21.0,156.0
2018-06-30,75.0,4.0,21.0,154.0
2018-05-31,76.0,3.0,21.0,155.0
2018-04-30,72.0,3.0,25.0,147.0
2018-03-31,77.0,3.0,20.0,157.0
2018-02-28,73.0,3.0,24.0,149.0
2018-01-31,66.0,6.0,28.0,138.0
2017-12-31,67.0,4.0,29.0,138.0
2017-11-30,68.0,4.0,28.0,140.0
2017-10-31,71.0,4.0,25.0,146.0
2017-09-30,70.0,5.0,25.0,145.0
2017-08-31,70.0,3.0,27.0,143.0
2017-07-31,70.0,4.0,26.0,144.0
2017-06-30,69.0,5.0,26.0,143.0
2017-05-31,73.0,3.0,24.0,149.0
2017-04-30,69.0,4.0,27.0,142.0
2017-03-31,69.0,4.0,27.0,142.0
2017-02-28,64.0,3.0,33.0,131.0
2017-01-31,63.0,5.0,32.0,131.0
2016-12-31,59.0,4.0,37.0,122.0
2016-11-30,59.0,4.0,37.0,122.0
2016-10-31,59.0,3.0,38.0,121.0
2016-09-30,61.0,5.0,34.0,127.0
2016-08-31,69.0,2.0,29.0,140.0
2016-07-31,63.0,4.0,33.0,130.0
2016-06-30,60.0,6.0,34.0,126.0
2016-05-31,64.0,3.0,33.0,131.0
2016-04-30,57.0,2.0,41.0,116.0
2016-03-31,59.0,1.0,40.0,119.0
2016-02-29,61.0,4.0,35.0,126.0
2016-01-31,58.0,2.0,40.0,118.0
2015-12-31,53.0,3.0,44.0,109.0
2015-11-30,56.0,5.0,39.0,117.0
2015-10-31,56.0,4.0,40.0,116.0
2015-09-30,54.0,6.0,40.0,114.0
2015-08-31,60.0,4.0,36.0,124.0
2015-07-31,57.0,3.0,40.0,117.0
2015-06-30,58.0,5.0,37.0,121.0
2015-05-31,54.0,6.0,40.0,114.0
2015-04-30,58.0,3.0,39.0,119.0
2015-03-31,51.0,3.0,46.0,105.0
2015-02-28,53.0,5.0,42.0,111.0
2015-01-31,53.0,3.0,44.0,109.0
2014-12-31,49.0,4.0,47.0,102.0
2014-11-30,45.0,6.0,49.0,96.0
2014-10-31,42.0,4.0,54.0,88.0
2014-09-30,49.0,3.0,48.0,101.0
2014-08-31,49.0,4.0,47.0,102.0
2014-07-31,42.0,7.0,51.0,91.0
2014-06-30,49.0,6.0,45.0,104.0
2014-05-31,44.0,4.0,52.0,92.0
2014-04-30,40.0,4.0,56.0,84.0
2014-03-31,37.0,3.0,60.0,77.0
2014-02-28,42.0,4.0,54.0,88.0
2014-01-31,41.0,5.0,54.0,87.0
2013-12-31,38.0,5.0,57.0,81.0
2013-11-30,33.0,3.0,64.0,69.0
2013-10-31,40.0,5.0,55.0,85.0
2013-09-30,39.0,3.0,58.0,81.0
2013-08-31,40.0,5.0,55.0,85.0
2013-07-31,36.0,4.0,60.0,76.0
2013-06-30,37.0,4.0,59.0,78.0
2013-05-31,29.0,4.0,67.0,62.0
2013-04-30,34.0,5.0,61.0,73.0
2013-03-31,27.0,1.0,72.0,55.0
2013-02-28,22.0,4.0,74.0,48.0
2013-01-31,22.0,2.0,76.0,46.0
2012-12-31,17.0,3.0,80.0,37.0
2012-11-30,16.0,3.0,81.0,35.0
2012-10-31,17.0,2.0,81.0,36.0
2012-09-30,16.0,3.0,81.0,35.0
2012-08-31,12.0,1.0,87.0,25.0
2012-07-31,12.0,2.0,86.0,26.0
