Date,Stock,Year,Month,Day,Open,High,Low,Close
2012-01-03,GOOG,2012,1,3,325.250885,332.82748399999997,324.966949,331.462585
2012-01-04,GOOG,2012,1,4,331.27331499999997,333.87356600000004,329.07653799999997,332.892242
2012-01-05,GOOG,2012,1,5,329.828735,330.7453,326.88974,328.274536
2012-01-06,GOOG,2012,1,6,,,,
2012-01-09,GOOG,2012,1,9,322.042908,322.291962,309.45507799999996,310.06777999999997
2012-01-10,GOOG,2012,1,10,313.699188,315.716614,307.303162,310.406525
2012-01-11,GOOG,2012,1,11,310.585846,313.519836,309.400299,311.81124900000003
2012-01-12,GOOG,2012,1,12,314.431427,315.263306,312.080261,313.644379
2012-01-13,GOOG,2012,1,13,311.960693,312.304413,309.370392,311.32806400000004
2012-01-17,GOOG,2012,1,17,314.810028,314.810028,311.671783,313.11636400000003
2012-01-18,GOOG,2012,1,18,312.144989,315.816254,309.898438,315.273285
2012-01-19,GOOG,2012,1,19,319.298187,319.298187,314.550995,
2012-01-20,GOOG,2012,1,20,294.162415,294.39651499999997,289.763885,291.90087900000003
2012-01-23,GOOG,2012,1,23,291.905853,293.230896,290.49118,291.666748
2012-01-24,GOOG,2012,1,24,292.065277,292.74273700000003,287.92080699999997,289.380341
2012-01-25,GOOG,2012,1,25,287.676727,288.274475,282.132507,283.68170200000003
2012-01-26,GOOG,2012,1,26,284.92202799999995,286.167389,281.220917,
2012-01-27,GOOG,2012,1,27,284.32428,289.076477,283.60199,
2012-01-30,GOOG,2012,1,30,287.94570899999997,288.91705299999995,285.62939500000005,287.766388
2012-01-31,GOOG,2012,1,31,290.411469,290.909607,286.501129,288.971863
2012-02-01,GOOG,2012,2,1,291.377838,291.65679900000003,288.488678,289.33050499999996
2012-02-02,GOOG,2012,2,2,291.342987,292.11010699999997,289.95318599999996,291.46252400000003
2012-02-03,GOOG,2012,2,3,294.227173,297.42019700000003,292.927032,297.051575
2012-02-06,GOOG,2012,2,6,296.394043,304.27450600000003,295.89590499999997,303.40774500000003
2012-02-07,GOOG,2012,2,7,302.441376,303.55719,300.752716,302.252075
2012-02-08,GOOG,2012,2,8,303.18359399999997,304.533539,301.240875,303.786346
2012-02-09,GOOG,2012,2,9,304.867279,306.102661,303.362915,
2012-02-10,GOOG,2012,2,10,302.805023,302.929535,300.872253,301.8237
2012-02-13,GOOG,2012,2,13,304.11010699999997,305.77389500000004,303.871002,304.95694
2012-02-14,GOOG,2012,2,14,304.628174,304.85733,301.250824,303.741516
2012-02-15,GOOG,2012,2,15,305.320587,305.320587,300.154938,301.64935299999996
