Date,Stock,Year,Month,Day,Open,High,Low,Close
2012-01-03,DIS,2012,1,3,37.970001,38.459998999999996,37.939999,38.310001
2012-01-04,DIS,2012,1,4,,,,
2012-01-05,DIS,2012,1,5,38.830002,39.580002,38.700001,39.5
2012-01-06,DIS,2012,1,6,39.549999,40.150002,39.450001,39.91
2012-01-09,DIS,2012,1,9,39.740002000000004,40.25,39.59,39.75
2012-01-10,DIS,2012,1,10,39.48,39.91,39.16,39.630001
2012-01-11,DIS,2012,1,11,39.389998999999996,39.529999,38.450001,38.700001
2012-01-12,DIS,2012,1,12,38.619999,38.860001000000004,38.41,38.73
2012-01-13,DIS,2012,1,13,38.470001,38.59,38.02,38.400002
2012-01-17,DIS,2012,1,17,38.689999,38.98,38.41,38.48
2012-01-18,DIS,2012,1,18,38.509997999999996,39.099998,38.400002,39.02
2012-01-19,DIS,2012,1,19,39.009997999999996,39.470001,39.0,39.439999
2012-01-20,DIS,2012,1,20,39.419998,39.439999,39.099998,39.310001
2012-01-23,DIS,2012,1,23,39.380001,39.5,38.959998999999996,39.25
2012-01-24,DIS,2012,1,24,39.029999,39.27,38.57,39.25
2012-01-25,DIS,2012,1,25,39.119999,39.68,38.959998999999996,39.560001
2012-01-26,DIS,2012,1,26,39.59,39.75,39.060001,39.349998
2012-01-27,DIS,2012,1,27,39.27,39.5,38.98,39.25
2012-01-30,DIS,2012,1,30,38.740002000000004,39.110001000000004,38.380001,38.990002000000004
2012-01-31,DIS,2012,1,31,39.080002,39.310001,38.66,38.900002
2012-02-01,DIS,2012,2,1,39.25,39.669998,39.16,39.330002
2012-02-02,DIS,2012,2,2,39.220001,39.25,38.560001,38.91
2012-02-03,DIS,2012,2,3,39.43,40.0,39.360001000000004,40.0
2012-02-06,DIS,2012,2,6,40.0,40.59,39.959998999999996,40.459998999999996
2012-02-07,DIS,2012,2,7,40.73,41.150002,40.200001,40.98
2012-02-08,DIS,2012,2,8,41.369999,41.91,40.990002000000004,41.27
2012-02-09,DIS,2012,2,9,40.75,41.639998999999996,40.549999,41.529999
