Date,Stock,Year,Month,Day,Open,High,Low,Close
2012-01-03,MSFT,2012,1,3,26.549999,26.959999,26.389999,26.77
2012-01-04,MSFT,2012,1,4,26.82,27.469998999999998,26.780001000000002,27.4
2012-01-05,MSFT,2012,1,5,27.379998999999998,27.73,27.290001,27.68
2012-01-06,MSFT,2012,1,6,27.530001000000002,28.190001000000002,27.530001000000002,28.110001
2012-01-09,MSFT,2012,1,9,28.049999,28.1,27.719998999999998,27.74
2012-01-10,MSFT,2012,1,10,27.93,28.15,27.75,27.84
2012-01-11,MSFT,2012,1,11,27.43,27.98,27.370001000000002,27.719998999999998
2012-01-12,MSFT,2012,1,12,27.870001000000002,28.02,27.65,28.0
2012-01-13,MSFT,2012,1,13,27.93,28.25,27.790001,28.25
2012-01-17,MSFT,2012,1,17,28.4,28.65,28.17,28.26
2012-01-18,MSFT,2012,1,18,28.309998999999998,28.4,27.969998999999998,28.23
2012-01-19,MSFT,2012,1,19,28.16,28.440001000000002,28.030001000000002,28.120001000000002
2012-01-20,MSFT,2012,1,20,28.82,29.74,28.75,29.709999
2012-01-23,MSFT,2012,1,23,29.549999,29.950001,29.35,29.73
2012-01-24,MSFT,2012,1,24,29.469998999999998,29.57,29.18,29.34
2012-01-25,MSFT,2012,1,25,29.07,29.65,29.07,29.559998999999998
2012-01-26,MSFT,2012,1,26,29.610001,29.700001,29.4,29.5
2012-01-27,MSFT,2012,1,27,29.450001,29.530001000000002,29.17,29.23
2012-01-30,MSFT,2012,1,30,28.969998999999998,29.620001000000002,28.83,29.610001
2012-01-31,MSFT,2012,1,31,29.66,29.700001,29.23,29.530001000000002
2012-02-01,MSFT,2012,2,1,29.790001,30.049999,29.76,29.889999
2012-02-02,MSFT,2012,2,2,29.9,30.17,29.709999,29.950001
2012-02-03,MSFT,2012,2,3,30.139999,30.4,30.09,30.24
2012-02-06,MSFT,2012,2,6,30.040001,30.219998999999998,29.969998999999998,30.200001
2012-02-07,MSFT,2012,2,7,30.15,30.49,30.049999,30.35
2012-02-08,MSFT,2012,2,8,30.26,30.67,30.219998999999998,30.66
2012-02-09,MSFT,2012,2,9,30.68,30.799999,30.48,30.77
2012-02-10,MSFT,2012,2,10,30.639999,30.799999,30.360001,30.5
2012-02-13,MSFT,2012,2,13,30.629998999999998,30.77,30.43,30.58
2012-02-14,MSFT,2012,2,14,30.33,30.459999,29.85,
2012-02-15,MSFT,2012,2,15,30.33,30.389999,30.030001000000002,30.049999
2012-02-16,MSFT,2012,2,16,30.309998999999998,31.549999,30.299999,31.290001
2012-02-17,MSFT,2012,2,17,31.200001,31.32,30.950001,31.25
2012-02-21,MSFT,2012,2,21,31.18,31.610001,31.15,31.440001000000002
2012-02-22,MSFT,2012,2,22,31.450001,31.68,31.18,31.27
2012-02-23,MSFT,2012,2,23,31.200001,31.59,31.0,31.370001000000002
2012-02-24,MSFT,2012,2,24,31.48,31.5,31.24,31.48
2012-02-27,MSFT,2012,2,27,31.24,31.5,31.1,31.35
2012-02-28,MSFT,2012,2,28,31.41,31.93,31.379998999999998,31.870001000000002
2012-02-29,MSFT,2012,2,29,31.889999,32.0,31.610001,31.74
2012-03-01,MSFT,2012,3,1,31.93,32.389998999999996,31.85,32.290001000000004
2012-03-02,MSFT,2012,3,2,32.310001,32.439999,32.0,32.080002
2012-03-05,MSFT,2012,3,5,,,,
2012-03-06,MSFT,2012,3,6,31.540001,31.98,31.49,31.559998999999998
2012-03-07,MSFT,2012,3,7,31.67,31.92,31.530001000000002,31.84
